,Place,Rank,Name,No.of votes,Percentage of votes,Party
2117,,3,Ajay Rai,"75,614",7.3%,Indian National Congress
2118,,,,,,
2119,Vellore,1,"Senguttuvan, B.","383,719",39.4%,All India Anna Dravida Munnetra Kazhagam
2120,,2,"Shanmugam, A.C.","324,326",33.3%,Bharatiya Janta Party
2121,,3,"Abdul Rahman, M.","205,896",21.1%,Indian Union Muslim League
2122,,,,,,
2123,Vidisha,1,Sushma Swaraj,"714,348",66.5%,Bharatiya Janta Party
2124,,2,Lakshman Singh,"303,650",28.3%,Indian National Congress
2125,,3,Kamlesh Sallam,"10,824",1.0%,Gondvana Gantantra Party
2126,,,,,,
2127,Vijayawada,1,Kesineni Srinivas,"592,696",49.6%,Telugu Desam
2128,,2,Koneru Rajendra Prasad,"517,834",43.3%,Yuvajana Sramika Rythu Congress Party
2129,,3,Avinash Devineni,"39,751",3.3%,Indian National Congress
2130,,,,,,
2131,Viluppuram,1,Rajendran S,"482,704",45.2%,All India Anna Dravida Munnetra Kazhagam
2132,,2,Muthaiyan K Dr,"289,337",27.1%,Dravida Munetra Kazhagam
2133,,3,Umasankar K,"209,663",19.6%,Desiya Murpokku Dravida Kazhagam
2134,,,,,,
2135,Virudhunagar,1,Radhakrishnan T,"406,694",40.2%,All India Anna Dravida Munnetra Kazhagam
2136,,2,Vaiko,"261,143",25.8%,Marumalarchi Dravida Munnetra Kazhagam
2137,,3,Rethinavelu S,"241,505",23.9%,Dravida Munetra Kazhagam
2138,,,,,,
2139,Visakhapatnam,1,Kambhampati Hari Babu,"566,832",48.7%,Bharatiya Janta Party
2140,,2,Y.S Vijayamma,"476,344",40.9%,Yuvajana Sramika Rythu Congress Party
2141,,3,Bolisetti Satyanarayana (SATYA),"50,632",4.4%,Indian National Congress
2142,,,,,,
2143,Vizianagaram,1,Ashok Gajapathi Raju Pusapati,"536,549",47.9%,Telugu Desam
2144,,2,Venkata Swetha Chalapathi Kumara Krishna Rangarao Ravu,"429,638",38.3%,Yuvajana Sramika Rythu Congress Party
2145,,3,Jhansi Lakshmi Botcha,"122,487",10.9%,Indian National Congress
2146,,,,,,
2147,Warangal,1,Kadiyam Srihari,"661,639",56.3%,Telangana Rashtra Samithi
2148,,2,Rajaiah Siricilla,"269,065",22.9%,Indian National Congress
2149,,3,Parameshwar Ramagalla,"187,139",15.9%,Bharatiya Janta Party
2150,,,,,,
2151,Wardha,1,Ramdas Chandrabhanji Tadas,"537,518",53.0%,Bharatiya Janta Party
2152,,2,Meghe Sagar Dattatraya,"321,735",31.7%,Indian National Congress
2153,,3,Chetan Bhimraj Pendam,"90,866",9.0%,Bahujan Samaj Party
2154,,,,,,
2155,Wayanad,1,M I Shanavas,"377,035",41.2%,Indian National Congress
2156,,2,Sathyan Mokeri,"356,165",38.9%,Communist Party Of India
2157,,3,P R Rasmilnath,"80,752",8.8%,Bharatiya Janta Party
2158,,,,,,
2159,West Delhi,1,Parvesh Sahib Singh Verma,"651,395",48.3%,Bharatiya Janta Party
2160,,2,Jarnail Singh,"382,809",28.4%,Aam Aadmi Party
2161,,3,Mahabal Mishra,"193,266",14.3%,Indian National Congress
2162,,,,,,
2163,Yavatmal-Washim,1,Gawali Bhavana Pundlikrao,"477,905",46.3%,Shiv Sena
2164,,2,Adv.Shivajirao Shivaramji Moghe,"384,089",37.2%,Indian National Congress
2165,,3,Rathod Baliram Parashram,"48,981",4.7%,Bahujan Samaj Party
2166,,,,,,
2167,Zahirabad,1,B.B. Patil,"508,661",46.5%,Telangana Rashtra Samithi
2168,,2,Suresh Kumar Shetkar,"364,030",33.3%,Indian National Congress
2169,,3,K.Madan Mohan Rao,"157,497",14.4%,Telugu Desam
2170,,,,,,
