,Place,Rank,Name,No.of votes,Percentage of votes,Party
2140,Visakhapatnam,1,Daggubati Purandeswari,"368,812",36.4%,Indian National Congress
2141,,2,Palla Srinivasa Rao,"302,126",29.8%,Praja Rajyam Party
2142,,3,Dr.M.V.V.S.Murthi,"223,117",22.0%,Telugu Desam
2143,,,,,,
2144,Vizianagaram,1,Jhansi Lakshmi Botcha,"411,584",40.2%,Indian National Congress
2145,,2,Appalanaidu Kondapalli,"351,013",34.3%,Telugu Desam
2146,,3,Kimidi Ganapathi Rao,"172,034",16.8%,Praja Rajyam Party
2147,,,,,,
2148,Warangal,1,Rajaiah Siricilla,"396,568",38.4%,Indian National Congress
2149,,2,Ramagalla Parameshwar,"271,907",26.4%,Telangana Rashtra Samithi
2150,,3,Dommati Sambaiah,"135,697",13.2%,Telugu Desam
2151,,,,,,
2152,Wardha,1,Datta Meghe,"352,853",45.8%,Indian National Congress
2153,,2,Suresh Ganpatrao Waghmare,"256,935",33.4%,Bharatiya Janta Party
2154,,3,Kangale Bipin Babasaheb,"131,643",17.1%,Bahujan Samaj Party
2155,,,,,,
2156,Wayanad,1,M.I. Shanavas,"410,703",49.8%,Indian National Congress
2157,,2,Advocate. M. Rahmathulla,"257,264",31.2%,Communist Party Of India
2158,,3,K. Muraleedharan,"99,663",12.1%,Nationalist Congress Party
2159,,,,,,
2160,West Delhi,1,Mahabal Mishra,"479,899",54.3%,Indian National Congress
2161,,2,Prof. Jagdish Mukhi,"350,889",39.7%,Bharatiya Janta Party
2162,,3,Deepak Bhardwaj,"36,089",4.1%,Bahujan Samaj Party
2163,,,,,,
2164,Yavatmal-Washim,1,Bhavana Gawali (Patil),"384,443",45.7%,Shiv Sena
2165,,2,Harising Rathod,"327,492",39.0%,Indian National Congress
2166,,3,Yedatkar Dilip Laxmanrao,"62,781",7.5%,Bahujan Samaj Party
2167,,,,,,
2168,Zahirabad,1,Suresh Kumar Shetkar,"395,767",38.8%,Indian National Congress
2169,,2,Syed Yousuf Ali,"378,360",37.1%,Telangana Rashtra Samithi
2170,,3,Malkapuram Shiva Kumar,"112,792",11.0%,Praja Rajyam Party
2171,,,,,,
